team_id,_fivetran_deleted,_fivetran_synced,activity_id,collective_name,gender,inserted_at,name,other_sources,season_id,team_level,updated_at,registration_code,school_activity_id,status
5,,2022-05-19T01:45:45.920Z,,team,girls,2022-04-04T00:09:31,Soccer: Girls Registration,"[{""id"":""36143a2a-5060-4061-b7a7-3ce7fc62314a"",""source"":""rma"",""table_id"":""10854"",""table_name"":""sports""}]",,other,2022-05-17T21:38:44,,2,active
2,,2022-05-19T01:45:45.922Z,,team,girls,2022-04-03T19:39:17,Varsity,"[{""id"":""dcc871bf-05e7-4951-bf9c-d5de3b178c0d"",""source"":""rma"",""table_id"":""10044"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,3,active
8,,2022-05-19T01:45:45.921Z,,team,girls,2022-04-04T14:58:09,Varsity,"[{""id"":""0baf1f9a-68b3-456c-9187-45480094ca03"",""source"":""rma"",""table_id"":""10059"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,4,active
13,,2022-05-19T01:45:45.926Z,,team,girls,2022-04-04T21:18:42,Varsity,"[{""id"":""865184fd-52de-4fc0-a4c2-e700c497aedc"",""source"":""rma"",""table_id"":""8813"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,9,active
9,,2022-05-19T01:45:45.924Z,,team,girls,2022-04-04T16:39:32,Varsity,"[{""id"":""8e0840bb-0396-4466-9aef-abc3749adb01"",""source"":""rma"",""table_id"":""8826"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,10,active
57,,2022-05-19T01:45:45.946Z,,team,girls,2022-04-05T16:02:15,Varsity,"[{""id"":""77ff6460-3458-4823-861d-d8d8956f7a88"",""source"":""rma"",""table_id"":""19694"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,13,active
55,,2022-05-19T01:45:45.946Z,,team,girls,2022-04-05T15:38:27,Varsity,"[{""id"":""50977b45-69ed-4e95-8b39-1ab9ff0f27b9"",""source"":""rma"",""table_id"":""19678"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,14,active
27,,2022-05-19T01:45:45.925Z,,team,girls,2022-04-05T01:41:26,Varsity,"[{""id"":""68793dfc-d3bb-4532-a9dc-a7c834430108"",""source"":""rma"",""table_id"":""8831"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,16,active
12,,2022-05-19T01:45:45.924Z,,team,girls,2022-04-04T20:50:15,Varsity,"[{""id"":""3827def9-c729-4467-9592-9854f197763e"",""source"":""rma"",""table_id"":""8664"",""table_name"":""teams""}]",,other,2022-05-17T21:38:44,,18,active
14,,2022-05-19T01:45:45.925Z,,team,girls,2022-04-04T21:20:55,Varsity,"[{""id"":""05a5b5b9-8563-4300-9816-3f8231b06bfd"",""source"":""rma"",""table_id"":""8809"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,20,active
60,,2022-05-19T01:45:45.951Z,,team,girls,2022-04-05T16:06:48,Varsity Girls,"[{""id"":""70775622-055c-48dd-9e58-415e5c91d21a"",""source"":""rma"",""table_id"":""179235"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,23,active
21,,2022-05-19T01:45:45.922Z,,team,girls,2022-04-04T23:32:32,Varsity Girls,"[{""id"":""d877ec9f-ac2a-439e-b623-79a5d54e6384"",""source"":""rma"",""table_id"":""19662"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,24,active
29,,2022-05-19T01:45:45.928Z,,team,girls,2022-04-05T02:08:13,Basketball: Girls Registration,"[{""id"":""0dd213d9-c06b-4b70-900d-0f47722c8d18"",""source"":""rma"",""table_id"":""10573"",""table_name"":""sports""}]",,other,2022-05-17T21:38:44,,30,active
102,,2022-05-19T01:45:45.951Z,,team,girls,2022-04-21T18:34:21,Varsity,"[{""id"":""3684b196-4e91-4592-9329-1713bdd4ce25"",""source"":""rma"",""table_id"":""167317"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,31,active
34,,2022-05-19T01:45:45.928Z,,team,girls,2022-04-05T02:30:52,Varsity Girls,"[{""id"":""efc219e2-9b03-4bf8-a998-ea74d096ec9a"",""source"":""rma"",""table_id"":""8958"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,32,active
44,,2022-05-19T01:45:45.947Z,,team,girls,2022-04-05T03:14:51,Wrestling: Girls Registration,"[{""id"":""c79b8ac4-86ff-4763-9192-dfded44664d6"",""source"":""rma"",""table_id"":""94782"",""table_name"":""sports""}]",,other,2022-05-17T21:38:44,,38,active
41,,2022-05-19T01:45:45.948Z,,team,girls,2022-04-05T03:06:43,Varsity,"[{""id"":""8cdfa56f-0021-4454-9fb5-14a103030ada"",""source"":""rma"",""table_id"":""179031"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,40,active
50,,2022-05-19T01:45:45.948Z,,team,girls,2022-04-05T03:30:31,Varsity Girls,"[{""id"":""967bcdc4-a303-44b7-82d4-5e1f577a96dd"",""source"":""rma"",""table_id"":""19710"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,41,active
47,,2022-05-19T01:45:45.948Z,,team,girls,2022-04-05T03:26:17,Varsity,"[{""id"":""897e90e3-0742-4b23-a954-981a1f6def74"",""source"":""rma"",""table_id"":""19720"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,44,active
52,,2022-05-19T01:45:45.949Z,,team,girls,2022-04-05T03:34:05,Varsity,"[{""id"":""573f3558-481c-49e6-92c9-01321f923ec2"",""source"":""rma"",""table_id"":""19702"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,45,active
66,,2022-05-19T01:45:45.949Z,,team,girls,2022-04-06T19:10:17,Junior Varsity,"[{""id"":""24070078-0d7b-434c-ba78-ca54a4f9db3b"",""source"":""rma"",""table_id"":""186281"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,48,active
